	Chlorophyll-a	Chlorophyll-b	DV chlorophyll-a	Chlorophyllide-a	Phaeophorbide-a	Phaeophytin-a	Chlorophyll C3	chlorophyll c2
688.4	0.000490055	4.33618E-05	0.000357242	0.00206363	0.001025279	0.000778122	0.000254908	0.000254908
687.5	0.000572202	1.62469E-06	0.000453214	0.002277207	0.001156161	0.000864818	0.000340328	0.000340328
686.7	0.00070077	6.95189E-05	0.00058591	0.002461379	0.001337103	0.000969166	0.000324128	0.000324128
685.8	0.000835194	3.7475E-05	0.000759583	0.002706109	0.001499275	0.00110432	0.000305981	0.000305981
685.0	0.000992121	6.30428E-05	0.000883178	0.003051292	0.001737971	0.001244626	0.000298796	0.000298796
684.1	0.001272514	7.73899E-05	0.001074998	0.003417798	0.0020335	0.001431987	0.000363195	0.000363195
683.3	0.001443904	0.000113703	0.001290152	0.003886137	0.002345566	0.001668024	0.000305145	0.000305145
682.4	0.001707501	9.47516E-05	0.001553193	0.004355832	0.002731248	0.00189287	0.000304269	0.000304269
681.5	0.002089485	0.000152887	0.001897838	0.005020014	0.003175515	0.002228948	0.000291909	0.000291909
680.7	0.002468677	0.000129689	0.002222119	0.005736241	0.00369646	0.002576211	0.000321745	0.000321745
679.8	0.002940089	0.000179027	0.002720748	0.006548557	0.004280899	0.002962342	0.000311726	0.000311726
679.0	0.003538391	0.000199669	0.003232866	0.007513769	0.004937507	0.003422816	0.000333694	0.000333694
678.1	0.004104744	0.000213067	0.003773242	0.00853328	0.005701044	0.003917766	0.000335084	0.000335084
677.3	0.004822936	0.00024249	0.004469965	0.009699476	0.006499111	0.004524761	0.000279683	0.000279683
676.4	0.005646164	0.000282461	0.005256211	0.011040922	0.007373638	0.005118804	0.000304537	0.000304537
675.6	0.00643948	0.000255127	0.006111855	0.012387428	0.008327116	0.005803121	0.000290405	0.000290405
674.7	0.007497713	0.000415935	0.007066472	0.013840809	0.009288738	0.00650594	0.000321606	0.000321606
673.9	0.008460497	0.000388827	0.008117749	0.015452506	0.010276814	0.007190935	0.000323117	0.000323117
673.0	0.009471417	0.000439351	0.009022152	0.016916918	0.011127287	0.007775104	0.000339717	0.000339717
672.2	0.010345133	0.000508914	0.010005327	0.018361959	0.011931691	0.008429904	0.000321579	0.000321579
671.3	0.011618304	0.000612831	0.011384056	0.019852288	0.013038132	0.009274715	0.000362323	0.000362323
670.5	0.013165163	0.000661623	0.012921476	0.021579037	0.014124322	0.010094523	0.000330358	0.000330358
669.6	0.014464268	0.000820184	0.014259131	0.023131891	0.014960357	0.010720112	0.000346579	0.000346579
668.7	0.015607237	0.000901551	0.015561305	0.024436078	0.015654784	0.011256615	0.000377	0.000377
667.9	0.016738454	0.001036506	0.016749207	0.025526525	0.016204136	0.011672992	0.000322878	0.000322878
667.0	0.017743137	0.00117283	0.017815886	0.026581344	0.016585686	0.012027792	0.000336944	0.000336944
666.2	0.018621597	0.001386589	0.018739657	0.027236775	0.016814949	0.012182952	0.00032727	0.00032727
665.3	0.019260986	0.00156166	0.019399351	0.027616025	0.016822086	0.012277741	0.000302463	0.000302463
664.5	0.019738383	0.001788878	0.019893187	0.027737353	0.016704127	0.012206217	0.000316606	0.000316606
663.6	0.020025328	0.002043197	0.020133787	0.02757291	0.01639669	0.012014697	0.000341874	0.000341874
662.8	0.020046297	0.0023271	0.020120688	0.027156059	0.015940005	0.011669711	0.000277983	0.000277983
661.9	0.019848126	0.002644233	0.019788913	0.026468244	0.015355365	0.011270408	0.000329798	0.000329798
661.1	0.019497389	0.003003781	0.019319251	0.025574973	0.014638866	0.010747936	0.000381873	0.000381873
660.2	0.018867347	0.00337869	0.018555776	0.024460924	0.013848757	0.010208439	0.000361036	0.000361036
659.4	0.018148404	0.00381031	0.017718379	0.023247338	0.01301729	0.009579216	0.000336491	0.000336491
658.5	0.017239031	0.004281981	0.016610979	0.021963757	0.012151289	0.008935961	0.000324585	0.000324585
657.7	0.016226954	0.004829134	0.015518888	0.020557001	0.011251613	0.008312367	0.000333266	0.000333266
