	Chlorophyll-a	Chlorophyll-b	DV chlorophyll-a	Chlorophyllide-a	Phaeophorbide-a	Phaeophytin-a	Chlorophyll C3	chlorophyll c2
733.6	-0.000153165	-6.75879E-05	-0.00011121	0.000374417	0.000289408	0.000319386	0.000442929	0.000442929
732.7	-5.08222E-05	2.54976E-05	-0.000105865	0.000262671	0.000256411	0.000294278	0.00044484	0.00044484
731.9	-9.14595E-05	-4.12693E-05	-9.90718E-05	0.00035679	0.000271742	0.000315921	0.000423264	0.000423264
731.0	-3.09567E-05	-2.88686E-05	-0.000109206	0.000331812	0.00027183	0.000326887	0.000397459	0.000397459
730.2	-0.000114025	-6.96256E-05	-6.22342E-05	0.000284261	0.000287353	0.000302616	0.000426354	0.000426354
729.3	-0.000120431	-0.000109482	-0.000111964	0.000338308	0.000291282	0.000315476	0.000408038	0.000408038
728.5	-0.000146254	-0.000160965	-0.000107439	0.000430669	0.000281283	0.000331922	0.000506927	0.000506927
727.6	-0.000108789	-4.81632E-05	-0.000121422	0.000321806	0.000268878	0.000319612	0.000427468	0.000427468
726.8	-9.61439E-05	-6.8672E-05	-0.000106408	0.000305361	0.000283493	0.000312474	0.000408006	0.000408006
725.9	-6.7376E-05	-1.40276E-05	-9.96377E-05	0.000352569	0.000279538	0.000300801	0.00042369	0.00042369
725.1	-7.54891E-05	-1.85026E-05	-0.000102726	0.000338254	0.000284112	0.000289965	0.000449805	0.000449805
724.2	-7.35585E-05	6.88057E-06	-0.000105824	0.00037483	0.000310927	0.000303556	0.000377823	0.000377823
723.4	-0.000101586	-8.16227E-05	-0.000159246	0.000418729	0.000302327	0.000281924	0.000415628	0.000415628
722.5	-0.000112512	-2.55419E-05	-8.14585E-05	0.000345965	0.00030727	0.000302863	0.000435964	0.000435964
721.7	-0.000111602	-6.49773E-05	-0.000178246	0.000396408	0.000274546	0.000296017	0.000394813	0.000394813
720.8	-9.37079E-05	-4.43844E-05	-0.000156346	0.000328322	0.000300611	0.000317566	0.000393907	0.000393907
719.9	-7.66163E-05	-3.10359E-05	-0.000153873	0.000383588	0.000312958	0.000294412	0.000429604	0.000429604
719.1	-8.09435E-05	-3.57685E-05	-0.000104964	0.000341654	0.000303041	0.000283608	0.000415749	0.000415749
718.2	-8.95179E-05	-8.2753E-05	-0.000132079	0.000381783	0.000293611	0.000297547	0.000437709	0.000437709
717.4	-0.000109429	-6.34461E-05	-0.000120659	0.000420315	0.000286405	0.000298317	0.000346242	0.000346242
716.5	-5.75624E-05	3.20685E-05	-0.000157785	0.000447434	0.000319108	0.000299329	0.000435753	0.000435753
715.7	-5.21277E-05	-2.14169E-05	-7.64611E-05	0.000441818	0.000327839	0.000303847	0.00042712	0.00042712
714.8	-9.7283E-05	-1.43006E-05	-0.000111058	0.000397435	0.000301671	0.000302776	0.00041547	0.00041547
714.0	-9.57722E-05	-6.39138E-05	-9.62231E-05	0.000440365	0.000333293	0.000280048	0.000458074	0.000458074
713.1	-6.97842E-05	-1.45025E-05	-0.000155683	0.000496013	0.000321836	0.000306518	0.000442887	0.000442887
712.3	-6.09055E-05	-1.33638E-05	-0.000107135	0.0004177	0.000319743	0.000303612	0.000427645	0.000427645
711.4	-0.000104306	-3.31492E-05	-0.000135834	0.000519196	0.000324882	0.00030137	0.000442076	0.000442076
710.6	-5.46179E-05	-4.4718E-05	-0.000122662	0.000513889	0.000352752	0.000297357	0.000403057	0.000403057
709.7	-7.64809E-05	-2.91658E-05	-0.000101787	0.000576212	0.000339562	0.000315505	0.000483503	0.000483503
708.9	-6.49999E-05	-4.84116E-05	-0.000114432	0.000561511	0.00036895	0.00030772	0.000446144	0.000446144
708.0	-6.3055E-05	3.63017E-06	-5.9624E-05	0.000590296	0.000331023	0.000302521	0.000419717	0.000419717
707.1	-2.71653E-05	-1.2604E-05	-0.000126902	0.000617302	0.000349143	0.0003055	0.000444769	0.000444769
706.3	-8.69869E-05	-5.09417E-05	-4.90658E-05	0.000700227	0.000358081	0.000314584	0.000506803	0.000506803
705.4	8.05057E-06	-5.31079E-05	-8.31723E-05	0.000685945	0.000357481	0.00030665	0.000541704	0.000541704
704.6	-7.93413E-05	-6.28827E-05	-8.45667E-05	0.000680183	0.000366762	0.000318471	0.00045666	0.00045666
703.7	-1.48488E-05	-1.18055E-05	-8.62657E-05	0.000829442	0.000375464	0.000315257	0.000496843	0.000496843
702.9	-7.0356E-05	-6.73079E-05	-6.23866E-05	0.000734621	0.000380382	0.000335764	0.000516133	0.000516133
702.0	7.73617E-06	9.07226E-06	-5.89869E-05	0.000880458	0.000394973	0.000329667	0.000513836	0.000513836
701.2	-3.63904E-05	-5.18435E-05	-1.33835E-05	0.000877902	0.000383535	0.000315437	0.00051645	0.00051645
700.3	8.60808E-06	-1.17816E-05	-7.00194E-05	0.000959964	0.00041072	0.000337874	0.000559476	0.000559476
699.5	4.13788E-05	-7.65378E-06	-2.772E-05	0.000973853	0.000424169	0.000354122	0.000579767	0.000579767
698.6	8.36582E-06	1.27171E-05	-3.86353E-05	0.000969462	0.000410678	0.000393155	0.000377232	0.000377232
697.8	7.10365E-06	-7.37991E-05	-4.1494E-06	0.001083679	0.000452066	0.000392865	0.000348714	0.000348714
696.9	7.56004E-06	-5.13138E-06	1.09964E-05	0.001118899	0.000450652	0.000420711	0.000349101	0.000349101
696.1	6.42522E-05	-5.85646E-05	2.92481E-05	0.001197479	0.000493352	0.000440373	0.000371639	0.000371639
695.2	0.000110111	4.59714E-06	2.46955E-05	0.001209747	0.000508625	0.000450509	0.00034863	0.00034863
694.3	0.000147517	1.13609E-05	3.45104E-05	0.001307224	0.00056393	0.000453398	0.000376938	0.000376938
693.5	0.000159212	2.30758E-05	6.88095E-05	0.001401666	0.000589371	0.000493801	0.000341327	0.000341327
692.6	0.000199518	-1.23062E-05	0.000115271	0.001466343	0.000631022	0.000528774	0.000341046	0.000341046
691.8	0.000228563	2.82104E-05	0.000156908	0.001581462	0.000677686	0.000558779	0.000402354	0.000402354
690.9	0.000258091	3.87698E-05	0.000220472	0.001597733	0.000750695	0.000595738	0.000313554	0.000313554
690.1	0.00032956	2.90529E-05	0.000202384	0.001786003	0.000812386	0.000645678	0.000285784	0.000285784
689.2	0.000402299	2.6296E-05	0.000333994	0.001907256	0.00093054	0.000728593	0.000293192	0.000293192
