,Modification,Size,BPCY,WYIELD
0,"{'EX_C00014__dra': 0.5, 'EX_C00009__dra': 0.1, 'EX_C00033__dra': 10, 'EX_C00320__dra': 10, 'EX_C00011__dra': 7}",5,0.0,0.11484865770548218
1,"{'EX_C00014__dra': 0.5, 'EX_C00009__dra': 0.1, 'EX_C00033__dra': 10, 'EX_C00320__dra': 10, 'EX_C00011__dra': 10}",5,0.0,0.11484865770548203
2,"{'EX_C00014__dra': 0.5, 'EX_C00009__dra': 0.1, 'EX_C00320__dra': 0.1, 'EX_C00033__dra': 10, 'EX_C00011__dra': 7}",5,0.0,0.11484865770548469
3,"{'EX_C00014__dra': 0.5, 'EX_C00033__dra': 10, 'EX_C00320__dra': 10, 'EX_C00011__dra': 7, 'EX_C00009__dra': 7}",5,0.0,0.11484865770548157
4,"{'EX_C00014__dra': 0.5, 'EX_C00320__dra': 7, 'EX_C00009__dra': 0.1, 'EX_C00033__dra': 10, 'EX_C00011__dra': 7}",5,0.0,0.11484865770548872
