,Modification,Size,BPCY,WYIELD
0,"{'EX_C14818__dra': 0.1, 'EX_C00135__dra': 1, 'EX_C00177__dra': 1, 'EX_C00033__dra': 10, 'EX_C00214__dra': 0.1, 'EX_C00469__dra': 0.1, 'EX_C00504__dra': 0.5, 'EX_C00387__dra': 0.1, 'EX_C02823__dra': 0.5, 'EX_C00299__dra': 10, 'EX_C00058__dra': 0, 'EX_C00116__dra': 10, 'EX_C00114__dra': 0.5, 'EX_C06197__dra': 0.1, 'EX_C00294__dra': 10, 'EX_C00014__dra': 1, 'EX_C01762__dra': 10, 'EX_C00007__dra': 10, 'EX_C00205__dra': 10, 'EX_C00320__dra': 0.5, 'EX_C00475__dra': 10, 'EX_C00120__dra': 3, 'EX_C00305__dra': 1, 'EX_C00378__dra': 10, 'EX_C01089__dra': 10}",25,0.0,0.4549830331840357
1,"{'EX_C14818__dra': 0.1, 'EX_C00135__dra': 1, 'EX_C00033__dra': 10, 'EX_C00214__dra': 0.1, 'EX_C00469__dra': 0.1, 'EX_C00504__dra': 0.5, 'EX_C00387__dra': 0.1, 'EX_C02823__dra': 0.5, 'EX_C00299__dra': 10, 'EX_C00058__dra': 0, 'EX_C00116__dra': 10, 'EX_C00114__dra': 0.5, 'EX_C06197__dra': 0.1, 'EX_C00294__dra': 10, 'EX_C00014__dra': 1, 'EX_C01762__dra': 10, 'EX_C00007__dra': 10, 'EX_C00177__dra': 0.5, 'EX_C00205__dra': 10, 'EX_C00320__dra': 0.5, 'EX_C00475__dra': 10, 'EX_C00120__dra': 3, 'EX_C00305__dra': 1, 'EX_C00378__dra': 10, 'EX_C01089__dra': 10}",25,0.0,0.45498303318400707
2,"{'EX_C14818__dra': 0.1, 'EX_C00135__dra': 1, 'EX_C00177__dra': 1, 'EX_C00033__dra': 10, 'EX_C00214__dra': 0.1, 'EX_C00469__dra': 0.1, 'EX_C00504__dra': 0.5, 'EX_C00387__dra': 0.1, 'EX_C02823__dra': 0.5, 'EX_C00299__dra': 10, 'EX_C00058__dra': 0, 'EX_C00116__dra': 10, 'EX_C00114__dra': 0.5, 'EX_C06197__dra': 0.1, 'EX_C00294__dra': 10, 'EX_C00014__dra': 1, 'EX_C01762__dra': 10, 'EX_C00007__dra': 10, 'EX_C01089__dra': 3, 'EX_C00205__dra': 10, 'EX_C00320__dra': 0.5, 'EX_C00475__dra': 10, 'EX_C00120__dra': 3, 'EX_C00305__dra': 1, 'EX_C00378__dra': 10}",25,0.0,0.45498303318415045
3,"{'EX_C14818__dra': 0.1, 'EX_C00135__dra': 1, 'EX_C00177__dra': 1, 'EX_C00033__dra': 10, 'EX_C00214__dra': 0.1, 'EX_C00469__dra': 0.1, 'EX_C00504__dra': 0.5, 'EX_C00387__dra': 0.1, 'EX_C02823__dra': 0.5, 'EX_C00299__dra': 10, 'EX_C00058__dra': 0, 'EX_C00116__dra': 10, 'EX_C00114__dra': 0.5, 'EX_C06197__dra': 0.1, 'EX_C00294__dra': 10, 'EX_C00014__dra': 1, 'EX_C01762__dra': 10, 'EX_C00378__dra': 0.1, 'EX_C00007__dra': 10, 'EX_C00205__dra': 10, 'EX_C00320__dra': 0.5, 'EX_C00475__dra': 10, 'EX_C00120__dra': 3, 'EX_C00305__dra': 1, 'EX_C01089__dra': 10}",25,0.0,0.45498303318394856
4,"{'EX_C14818__dra': 0.1, 'EX_C00135__dra': 1, 'EX_C00177__dra': 1, 'EX_C00033__dra': 10, 'EX_C00214__dra': 0.1, 'EX_C00469__dra': 0.1, 'EX_C00504__dra': 0.5, 'EX_C00387__dra': 0.1, 'EX_C02823__dra': 0.5, 'EX_C00299__dra': 10, 'EX_C00058__dra': 0, 'EX_C00116__dra': 10, 'EX_C00014__dra': 0.1, 'EX_C00114__dra': 0.5, 'EX_C06197__dra': 0.1, 'EX_C00294__dra': 10, 'EX_C01762__dra': 10, 'EX_C00007__dra': 10, 'EX_C00205__dra': 10, 'EX_C00320__dra': 0.5, 'EX_C00475__dra': 10, 'EX_C00120__dra': 3, 'EX_C00305__dra': 1, 'EX_C00378__dra': 10, 'EX_C01089__dra': 10}",25,0.0,0.4549830331842384
